Serial_number Axis Date Time Old_Cal_Offset New_Cal_Offset Diff_Cal_Offset
14kL-501648 1 2018-11-26 11:57:02 0.76030 3.16050 2.40020
14kL-501648 2 2018-11-26 11:57:30 2.78680 2.97610 0.18930
14kL-501648 3 2018-11-26 11:58:02 6.23910 4.39790 -1.84120
14kL-501648 4 2018-11-26 11:58:38 3.28860 6.15530 2.86670
14kL-501648 5 2018-11-26 11:59:28 3.94320 0.89610 -3.04710
14kL-501648 6 2018-11-26 11:59:58 5.51550 2.75120 -2.76430
14kL-501648 7 2018-11-26 12:00:30 1.40570 2.93900 1.53330
14kR-501648 1 2018-11-26 12:05:50 5.49720 5.92960 0.43240
14kR-501648 2 2018-11-26 12:06:18 3.79620 2.82160 -0.97460
14kR-501648 3 2018-11-26 12:06:46 3.85690 4.56130 0.70440
14kR-501648 4 2018-11-26 12:07:15 3.99130 0.98330 -3.00800
14kR-501648 5 2018-11-26 12:08:07 4.05710 1.82660 -2.23050
14kR-501648 6 2018-11-26 12:08:38 0.09290 1.71040 1.61750
14kR-501648 7 2018-11-26 12:09:06 0.42980 1.54280 1.11300
